,store,sido,gugun,address
50,부산당감점,부산,부산진구,"부산 부산진구 동평로 83, 1층"
51,진영(부산) 휴게소점,경상남도,김해시,경남 김해시 진영읍 하계로 96번길 94-4 진영(부산)휴게소
52,성산포수협,제주도,서귀포시,제주 서귀포시 성산읍 성산등용로 91
53,제주한림점,제주도,제주시,제주도 제주시 한림읍 한림남1길 3
54,장안사거리점,서울,동대문구,"서울시 동대문구 장한로 130, 1층"
55,울산무궁화점,울산,남구,울산광역시 남구 돋질로 359
56,김천교동 D/T,경상북도,김천시,"경상북도 김천시 대학로 75, 나동 1-2층(교동)"
57,인천아암대로D/T,인천,연수구,"인천 연수구 비류대로 11, 2동"
58,대전송촌점,대전,대덕구,"대전시 대덕구 계족산로 81번길 101, 1층(송촌동)"
59,청주죽림 D/I,충청북도,청주시,충청북도 청주시 서원구 대림로 427 1층
60,대전카이스트점,대전,유성구,대전 유성구 대학로 291
61,부산개금백뱅원점,부산,부산진구,"부산 부산진구 엄광로 37 1, 2층"
62,마산역 D/I,경상남도,창원시,"경남 창원시 마산회원구 3.15대로 703, 1층(석전동)"
63,광주문흥점,광주,북구,광주시 북구 서하로 353-1
64,신사역점,서울,서초구,"서울시 서초구 강남대로 101길 7, 지하1층, 지상1층(잠원동, 루미에르신사)"
65,계양구청점,인천,계양구,인천 계양구 오조산로57번길 11
66,평택 힐스테이트점,경기도,평택시,경기 평택시 세교동 10-1 디오네프라자 1층
67,전주 김제 모다아울렛점,전라북도,김제시,전라북도 김제시 용지면 부교리 44-1번지
68,안산성포점,경기도,안산시,경기도 안산시 상록구 성포동 587-1 드림빌딩 2층
69,대구 남산역점,대구,남구,대구시 남구 명덕로 116 1층
70,부산 가덕도점,부산,강서구,부산시 강서구 가덕해안로 612
71,유성온천역점,대전,유성구,대전광역시 유성구 계룡로 92
72,안산중앙점,경기도,안산시,"경기도 안산시 단원구 고잔로 88 , 지스타 105,106호"
73,경인교대역점,인천,계양구,인천 계양구 계산천동로1
