,store,sido,gugun,address
1320,인천청라DT  ,인천광역시,서구,인천광역시 서구 국제대로 237 (청라동)1522-3232
1321,부평삼거리역DT  ,인천광역시,남동구,인천광역시 남동구 경인로 750 (간석동)1522-3232
1322,인천구월아시아드  ,인천광역시,남동구,인천광역시 남동구 인하로 556 (구월동)1522-3232
1323,인천터미널사거리  ,인천광역시,남동구,인천광역시 남동구 예술로 126 (구월동)1522-3232
1324,인천서창  ,인천광역시,남동구,"인천광역시 남동구 서창남로 51 (서창동) 101,102,103호1522-3232"
1325,인천간석DT  ,인천광역시,남동구,인천광역시 남동구 경원대로 974 (간석동)1522-3232
1326,인천예술회관역  ,인천광역시,남동구,인천광역시 남동구 예술로 174 (구월동) 흥국생명1522-3232
1327,구월로데오  ,인천광역시,남동구,"인천광역시 남동구 인하로 497-22, 2층 (구월동)1522-3232"
1328,구월길병원  ,인천광역시,남동구,"인천광역시 남동구 남동대로 773, , 14 삼성화재 인천사옥 (구월동)1522-3232"
1329,인천구월  ,인천광역시,남동구,"인천광역시 남동구 예술로 138 (구월동) 101,102,111,201,209호 일부,210호 일부1522-3232"
1330,인천논현  ,인천광역시,남동구,"인천광역시 남동구 논고개로 93, 111,112, 206, 207호 (논현동)1522-3232"
1331,간석중앙공원DT  ,인천광역시,남동구,인천광역시 남동구 경인로 563 (간석동)1522-3232
1332,영종하늘도시  ,인천광역시,중구,인천광역시 중구 하늘중앙로195번길 15 (중산동)1522-3232
1333,인천공항T2출국  ,인천광역시,중구,인천광역시 중구 공항로 272 (운서동)1522-3232
1334,인천공항T2에어  ,인천광역시,중구,인천광역시 중구 공항로 272 (운서동) 제2여객터미널 3층 탑승지역 25-2351522-3232
1335,인천공항T2입국  ,인천광역시,중구,인천광역시 중구 공항로 272 (운서동) 제2여객터미널 1층 환영홀지역 23-2021522-3232
1336,영종도운서역  ,인천광역시,중구,인천광역시 중구 신도시남로142번길 17 (운서동)1522-3232
1337,인천공항중앙  ,인천광역시,중구,인천광역시 중구 공항로 272 (운서동) 인천국제공항여객터미널 FB-P5-731522-3232
1338,인천공항랜드  ,인천광역시,중구,인천광역시 중구 공항로 272 (운서동) 인천공항1522-3232
1339,동해DT  ,강원도,동해시,강원도 동해시 중앙로 219 (천곡동)1522-3232
1340,설악쏘라노  ,강원도,속초시,강원도 속초시 미시령로2983번길 111 (장사동)1522-3232
1341,속초DT  ,강원도,속초시,강원도 속초시 동해대로 4114 (조양동)1522-3232
1342,속초중앙로  ,강원도,속초시,강원도 속초시 중앙로 123 (금호동)1522-3232
1343,춘천구봉산R  ,강원도,춘천시,강원도 춘천시 동면 순환대로 1154-63 1522-3232
1344,춘천후평DT  ,강원도,춘천시,강원도 춘천시 후석로 318 (후평동)1522-3232
1345,춘천석사DT  ,강원도,춘천시,강원도 춘천시 후석로 13 (석사동)1522-3232
1346,춘천명동  ,강원도,춘천시,강원도 춘천시 중앙로 57 (중앙로2가)1522-3232
